,code,title,year,ratings_avg,nattions,genres
522,mWyJ9zN,이스케이프 룸,2019.0,7.0353071654794705,"['미국', '남아프리카 공화국']","['액션', '모험', '공포', '미스터리', '스릴러']"
523,mWyaxex,타오르는 여인의 초상,2019.0,8.036736142238158,['프랑스'],"['드라마', '로맨스']"
524,m6dRLLW,"색, 계",2007.0,7.311023101904625,"['미국', '중국', '대만']","['드라마', '역사', '로맨스', '스릴러', '전쟁']"
525,mWqJ94B,헤이트풀8,2015.0,7.713690164449566,['미국'],"['액션', '스릴러', '서부극', '범죄']"
526,mdRL9gW,친절한 금자씨,2005.0,7.4576265855135375,['한국'],"['드라마', '스릴러', '범죄']"
527,mdjlyzW,은밀하게 위대하게,2013.0,6.867227484960043,['한국'],"['액션', '드라마', '코미디']"
528,mWvkVDZ,오베라는 남자,2015.0,7.695898701451319,['스웨덴'],"['코미디', '드라마', '로맨스']"
529,m5ZXrxO,아저씨,2010.0,7.875819648389598,['한국'],"['드라마', '액션', '범죄']"
530,mYdE4GO,라이언 일병 구하기,1998.0,8.32524073605201,['미국'],"['전쟁', '액션', '드라마']"
531,m5ZlbBL,시맨틱 에러: 더 무비,2022.0,8.390684011749896,['한국'],"['로맨스', 'BL']"
532,m533Z8p,탐정 : 더 비기닝,2015.0,6.9666029325215915,['한국'],"['미스터리', '드라마', '코미디', '범죄', '스릴러']"
533,mAd7vBO,아기공룡 둘리: 얼음별 대모험 리마스터링,1996.0,7.578338145652872,['한국'],"['애니메이션', '코미디', '가족', 'SF', '모험']"
534,tRzL165,약속의 네버랜드,2019.0,8.457573313360603,['일본'],"['애니메이션', '판타지', '공포', '미스터리', 'SF', '스릴러']"
535,md7Y8Z8,드라이브 마이 카,2021.0,8.021191144119962,['일본'],['드라마']
536,m5Go0qr,폴: 600미터,2022.0,6.409505703422053,['미국'],['스릴러']
537,mW428nl,애프터 양,2021.0,7.9667588761116575,['미국'],"['SF', '드라마']"
538,mOkzRgW,큐어,1997.0,7.998378531760509,['일본'],"['스릴러', '미스터리']"
539,tR7BLnE,오피스 시즌 1,2005.0,8.059451031879538,['미국'],"['코미디', '시트콤', 'TV드라마']"
540,tPJZ6jo,체인소 맨,2022.0,8.185525931489131,['일본'],"['애니메이션', '액션', '판타지']"
541,tR5KZqL,미스터리라 하지 말지어다,2022.0,8.58076950031537,['일본'],"['미스터리', 'TV드라마']"
542,mWw3EXX,애프터썬,2022.0,7.9164329594017095,"['영국', '미국']",['드라마']
543,mWpbEqM,내부자들: 디 오리지널,2015.0,8.013456544467303,['한국'],"['범죄', '드라마']"
544,mWyaQ4V,명탐정 코난: 진홍의 수학여행,2020.0,8.042306072094842,['일본'],['애니메이션']
545,tEZAY0d,새빛남고 학생회,2021.0,8.441830958422798,['한국'],"['틴에이저', 'BL', '로맨스', '드라마', 'TV드라마']"
546,tlGNQ2B,나기의 휴식,2019.0,7.987924467136721,['일본'],"['코미디', '드라마', '로맨스', 'TV드라마']"
547,tRMxXgn,천관사복,2020.0,9.076079778100647,['중국'],"['애니메이션', '액션', '모험', '판타지', '드라마', '로맨스', 'BL']"
548,mOkLpok,지저귀는 새는 날지 않는다,2020.0,7.891309535985817,['일본'],"['애니메이션', '범죄', '드라마', '로맨스', 'BL']"
549,m5rQw27,팬텀 스레드,2017.0,8.129461536401854,"['미국', '영국']","['드라마', '로맨스']"
550,tR57N1l,99.9 ~형사 전문 변호사~ 시즌 1,2016.0,8.232634457611669,['일본'],"['드라마', '범죄', 'TV드라마']"
551,tR5wkZl,한니발 시즌 1: 완전판,2013.0,8.129277847586666,['미국'],"['범죄', '드라마', '공포', '미스터리', '스릴러', 'TV드라마']"
552,tEm9KLB,안기고 싶은 남자 1위에게 협박 당하고 있습니다,2018.0,8.264820617765556,['일본'],"['애니메이션', '로맨스', 'BL', '드라마']"
553,m5NVM3E,물에 빠진 나이프,2016.0,6.922829454285488,['일본'],"['드라마', '로맨스']"
554,tRwGxbD,콩트가 시작된다,2021.0,8.766408813877169,['일본'],"['드라마', 'TV드라마']"
555,m5mY8q3,미드소마 감독판,2019.0,7.236250283954668,['미국'],"['드라마', '공포', '미스터리', '스릴러']"
556,tlLmw4E,보석의 나라,2017.0,7.935298346513299,['일본'],"['애니메이션', '액션']"
557,mOl4QPN,분노,2016.0,7.543302146695399,['일본'],"['미스터리', '드라마']"
558,tE3ADW1,최애,2021.0,8.473126890905855,['일본'],"['스릴러', '로맨스', '드라마', 'TV드라마']"
559,tEQkYXw,전생했더니 슬라임이었던 건에 대하여 2기,2021.0,8.871573571243859,['일본'],"['애니메이션', '액션', '모험', '코미디', '판타지']"
560,md7YyKB,나의 별에게,2021.0,8.266510538641686,['한국'],"['로맨스', 'BL']"
561,tRB6xAw,외톨이 THE ROCK!,2022.0,8.592754931030038,['일본'],"['애니메이션', '음악', '일상']"
562,tR2ezDD,명탐정 코난 18기,2019.0,8.913132777576417,['일본'],"['애니메이션', '액션', '모험', '코미디', '범죄', '드라마', '미스터리', '로맨스', '스릴러']"
563,mWLyRyr,로스트 도터,2021.0,7.126874553677696,"['미국', '영국', '이스라엘']",['드라마']
564,tlObGeB,올드 패션 컵케이크,2022.0,8.368842513952924,['일본'],"['로맨스', 'BL', 'TV드라마']"
565,mWpRnKd,오디션,2000.0,6.725422427035331,['일본'],"['공포', '미스터리']"
566,m5Z391L,9명의 번역가,2019.0,6.802749071937393,"['프랑스', '벨기에']","['미스터리', '스릴러']"
567,tEm9oQr,니시아적영요: 너는 나의 영광,2021.0,8.715490694872138,['중국'],"['로맨스', '드라마', 'TV드라마']"
568,tRp4Me5,겨울 지나 벚꽃,2022.0,8.261090171064076,['한국'],"['BL', '로맨스', 'TV드라마']"
569,m5Goapn,옥수역귀신,2022.0,3.0025813113061437,['한국'],"['미스터리', '공포']"
570,mOPVoqY,오타쿠에게 사랑은 어려워,2020.0,6.40810700428834,['일본'],"['코미디', '뮤지컬', '로맨스']"
571,tR2eZJz,오버로드 4기,2022.0,8.698769876987699,['일본'],"['애니메이션', '액션', '판타지']"
572,tPd3Ak1,달이 이끄는 이세계 여행,2021.0,8.324439053972105,['일본'],"['애니메이션', '판타지', '액션', '코미디']"
573,tPj19b0,진격의 거인 The Final Season 파트 3 (완결편 전편),2023.0,8.82105129184167,['일본'],"['애니메이션', '액션', '모험', '드라마', '판타지', '공포']"
574,tPeWroD,나의 별에게,2021.0,8.084332368747416,['한국'],"['드라마', '로맨스', 'BL']"
575,mdKpvJ1,성의 극약,2020.0,5.9371443352302125,['일본'],"['드라마', '로맨스', 'BL']"
576,tR5KVAa,86 -에이티식스-,2021.0,8.857884737175427,['일본'],"['애니메이션', 'SF', '전쟁', '액션']"
577,mdEm30g,유랑의 달,2022.0,7.006962710815411,['일본'],"['드라마', '미스터리']"
578,tlAnxBw,준과 준,2023.0,8.145810663764962,['한국'],"['로맨스', 'BL', '코미디', 'TV드라마']"
579,tRWmW08,가가니별포: 네가 어디 있든,2023.0,8.344262295081966,['중국'],"['드라마', '로맨스', 'BL', 'TV드라마']"
580,tE15Lnv,자동판매기로 다시 태어난 나는 미궁을 방랑한다,2023.0,6.96969696969697,['일본'],"['애니메이션', '판타지', '코미디']"
581,tPeWZ5G,야마다 군과 Lv999의 사랑을 하다,2023.0,8.59133513851281,['일본'],"['애니메이션', '로맨스', '코미디']"
582,tPeWoAe,구소한야난 - 너의 온도,2023.0,7.581896551724138,['중국'],"['로맨스', '드라마', '시대극', 'TV드라마']"
583,tE3AbD1,레벨 1이지만 유니크 스킬로 최강입니다,2023.0,6.940568475452197,['일본'],"['애니메이션', '판타지', '모험']"
